"","ID","date","Value","FunSys_item","EqGr","EqGr_no","ComGr_no","Unit","MsureGr","MsureGr_lvl"
"133","01CT023_XQ60",2007-07-05,37.7451033817396,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"134","01CT023_XQ60",2007-07-06,37.3065893834323,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"135","01CT023_XQ60",2007-07-07,34.0163766433733,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"136","01CT023_XQ60",2007-07-08,32.1072734094456,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"137","01CT023_XQ60",2007-07-09,33.3356866983183,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"138","01CT023_XQ60",2007-07-10,36.2243727942297,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"139","01CT023_XQ60",2007-07-11,38.6974286332124,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"140","01CT023_XQ60",2007-07-12,37.6026830250365,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"141","01CT023_XQ60",2007-07-13,37.3017617463374,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"142","01CT023_XQ60",2007-07-14,39.3242062383663,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"143","01CT023_XQ60",2007-07-15,39.502653590787,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"144","01CT023_XQ60",2007-07-16,39.0489194669479,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"145","01CT023_XQ60",2007-07-17,40.5800613015631,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"146","01CT023_XQ60",2007-07-18,40.9273635436157,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"147","01CT023_XQ60",2007-07-19,40.5682404714549,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"148","01CT023_XQ60",2007-07-20,40.5888354171615,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"149","01CT023_XQ60",2007-07-21,40.5183636919126,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"150","01CT023_XQ60",2007-07-22,39.370457612765,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"151","01CT023_XQ60",2007-07-23,37.8891915667431,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"152","01CT023_XQ60",2007-07-24,39.3126055945741,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"153","01CT023_XQ60",2007-07-25,39.4573807303733,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"154","01CT023_XQ60",2007-07-26,39.4318036259693,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"155","01CT023_XQ60",2007-07-27,39.258842615033,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"156","01CT023_XQ60",2007-07-28,39.9918943937141,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"157","01CT023_XQ60",2007-07-29,38.6316356130012,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
